iter	Passed	Remaining
842	3827	712
843	3831	708
844	3835	703
845	3838	698
846	3843	694
847	3846	689
848	3850	684
849	3853	680
850	3857	675
851	3861	670
852	3865	666
853	3868	661
854	3873	656
855	3877	652
856	3881	647
857	3885	643
858	3889	638
859	3892	633
860	3896	629
861	3900	624
862	3904	619
863	3908	615
864	3911	610
865	3915	605
866	3918	601
867	3923	596
868	3926	591
869	3930	587
870	3934	582
871	3938	578
872	3942	573
873	3945	568
874	3949	564
875	3953	559
876	3957	555
877	3961	550
878	3964	545
879	3968	541
880	3973	536
881	3977	532
882	3981	527
883	3984	522
884	3989	518
885	3993	513
886	3996	509
887	4000	504
888	4005	500
889	4009	495
890	4013	490
891	4017	486
892	4022	481
893	4025	477
894	4029	472
895	4033	468
896	4037	463
897	4041	459
898	4045	454
899	4048	449
900	4052	445
901	4057	440
902	4078	438
903	4106	436
904	4113	431
905	4117	427
906	4123	422
907	4130	418
908	4137	414
909	4143	409
910	4147	405
911	4151	400
912	4156	396
913	4160	391
914	4163	386
915	4168	382
916	4172	377
917	4176	373
918	4180	368
919	4185	363
920	4189	359
921	4194	354
922	4198	350
923	4203	345
924	4207	341
925	4211	336
926	4216	332
927	4220	327
928	4224	322
929	4228	318
930	4232	313
931	4236	309
932	4240	304
933	4244	299
934	4248	295
935	4252	290
936	4256	286
937	4259	281
938	4263	276
939	4267	272
940	4271	267
941	4275	263
942	4278	258
943	4283	254
944	4287	249
945	4291	244
946	4295	240
947	4299	235
948	4303	231
949	4307	226
950	4311	222
951	4315	217
952	4319	213
953	4323	208
954	4326	203
955	4330	199
956	4334	194
957	4338	190
958	4341	185
959	4345	181
960	4349	176
961	4352	171
962	4356	167
963	4360	162
964	4364	158
965	4367	153
966	4371	149
967	4375	144
968	4379	140
969	4384	135
970	4388	131
971	4392	126
972	4396	122
973	4400	117
974	4405	112
975	4409	108
976	4414	103
977	4418	99
978	4421	94
979	4425	90
980	4429	85
981	4433	81
982	4436	76
983	4440	72
984	4444	67
985	4448	63
986	4451	58
987	4455	54
988	4459	49
989	4463	45
990	4466	40
991	4470	36
992	4474	31
993	4479	27
994	4483	22
995	4487	18
996	4490	13
997	4494	9
998	4498	4
999	4502	0
